# MD Simulation - NVT Ensemble
# Timestep: 0.1 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       150       15.000       527.41      0.05511676   -756.73908562   -756.68396886
       151       15.100       526.25      0.05499615   -756.73907461   -756.68407846
       152       15.200       525.82      0.05495074   -756.73903974   -756.68408900
       153       15.300       528.36      0.05521619   -756.73899330   -756.68377711
       154       15.400       524.34      0.05479568   -756.73894750   -756.68415182
       155       15.500       520.92      0.05443882   -756.73891483   -756.68447601
       156       15.600       517.75      0.05410728   -756.73890670   -756.68479942
       157       15.700       519.35      0.05427444   -756.73893211   -756.68465767
       158       15.800       518.56      0.05419193   -756.73899835   -756.68480642
       159       15.900       524.66      0.05482943   -756.73910997   -756.68428055
       160       16.000       537.41      0.05616180   -756.73926895   -756.68310715
       161       16.100       541.27      0.05656553   -756.73947544   -756.68290991
       162       16.200       548.74      0.05734645   -756.73972410   -756.68237765
       163       16.300       553.42      0.05783488   -756.74000991   -756.68217502
       164       16.400       560.73      0.05859866   -756.74032459   -756.68172593
       165       16.500       561.33      0.05866122   -756.74065992   -756.68199871
       166       16.600       577.20      0.06032036   -756.74100443   -756.68068408
       167       16.700       581.22      0.06073994   -756.74135171   -756.68061178
       168       16.800       594.03      0.06207865   -756.74168788   -756.67960923
       169       16.900       596.34      0.06232079   -756.74200541   -756.67968462
       170       17.000       602.82      0.06299756   -756.74229356   -756.67929600
       171       17.100       606.80      0.06341326   -756.74254639   -756.67913313
       172       17.200       616.79      0.06445734   -756.74275948   -756.67830214
       173       17.300       617.54      0.06453630   -756.74293033   -756.67839403
       174       17.400       608.17      0.06355679   -756.74305916   -756.67950237
       175       17.500       609.57      0.06370254   -756.74314913   -756.67944659
       176       17.600       594.89      0.06216875   -756.74320808   -756.68103933
       177       17.700       596.10      0.06229535   -756.74324523   -756.68094987
       178       17.800       589.07      0.06156028   -756.74327207   -756.68171179
       179       17.900       587.34      0.06138018   -756.74330049   -756.68192031
       180       18.000       588.06      0.06145490   -756.74334252   -756.68188762
       181       18.100       596.49      0.06233611   -756.74340991   -756.68107380
       182       18.200       613.45      0.06410824   -756.74351204   -756.67940380
       183       18.300       620.73      0.06486972   -756.74365594   -756.67878622
       184       18.400       628.74      0.06570624   -756.74384568   -756.67813944
       185       18.500       639.01      0.06677916   -756.74408197   -756.67730281
       186       18.600       644.68      0.06737251   -756.74436252   -756.67699001
       187       18.700       654.27      0.06837448   -756.74468127   -756.67630680
       188       18.800       667.62      0.06976941   -756.74503013   -756.67526071
       189       18.900       680.33      0.07109801   -756.74539945   -756.67430145
       190       19.000       688.46      0.07194770   -756.74577726   -756.67382956
       191       19.100       693.43      0.07246720   -756.74615142   -756.67368422
       192       19.200       705.39      0.07371678   -756.74651139   -756.67279461
       193       19.300       709.72      0.07416952   -756.74685067   -756.67268115
       194       19.400       720.95      0.07534309   -756.74716175   -756.67181866
       195       19.500       730.29      0.07631931   -756.74744363   -756.67112432
       196       19.600       735.87      0.07690180   -756.74769520   -756.67079340
       197       19.700       735.92      0.07690747   -756.74791936   -756.67101189
       198       19.800       738.32      0.07715815   -756.74812060   -756.67096245
       199       19.900       732.44      0.07654323   -756.74830698   -756.67176375
       200       20.000       730.87      0.07637985   -756.74848740   -756.67210755
       201       20.100       739.47      0.07727777   -756.74867178   -756.67139401
       202       20.200       747.56      0.07812366   -756.74887162   -756.67074796
       203       20.300       761.40      0.07957039   -756.74909592   -756.66952553
       204       20.400       776.09      0.08110503   -756.74935428   -756.66824925
       205       20.500       787.37      0.08228365   -756.74965481   -756.66737116
       206       20.600       802.27      0.08384152   -756.75000433   -756.66616281
       207       20.700       824.46      0.08615996   -756.75041084   -756.66425088
       208       20.800       841.18      0.08790707   -756.75088303   -756.66297595
       209       20.900       855.81      0.08943593   -756.75142640   -756.66199046
       210       21.000       868.61      0.09077350   -756.75204553   -756.66127203
       211       21.100       895.13      0.09354566   -756.75274363   -756.65919797
       212       21.200       915.44      0.09566819   -756.75352938   -756.65786119
       213       21.300       947.29      0.09899667   -756.75439735   -756.65540069
       214       21.400       981.05      0.10252428   -756.75533482   -756.65281055
       215       21.500      1000.48      0.10455471   -756.75632784   -756.65177314
       216       21.600      1031.86      0.10783455   -756.75735416   -756.64951960
       217       21.700      1067.98      0.11160876   -756.75840041   -756.64679165
       218       21.800      1101.69      0.11513237   -756.75944975   -756.64431738
       219       21.900      1136.34      0.11875272   -756.76048482   -756.64173210
       220       22.000      1158.52      0.12107061   -756.76149151   -756.64042090
       221       22.100      1198.01      0.12519768   -756.76245078   -756.63725310
       222       22.200      1230.08      0.12854957   -756.76335310   -756.63480353
       223       22.300      1251.33      0.13076982   -756.76417544   -756.63340562
       224       22.400      1266.69      0.13237473   -756.76488997   -756.63251524
       225       22.500      1288.57      0.13466163   -756.76546716   -756.63080553
       226       22.600      1289.09      0.13471585   -756.76587458   -756.63115873
       227       22.700      1279.14      0.13367585   -756.76607172   -756.63239587
       228       22.800      1258.79      0.13154961   -756.76602199   -756.63447238
       229       22.900      1240.41      0.12962876   -756.76569174   -756.63606298
       230       23.000      1209.68      0.12641729   -756.76504800   -756.63863071
       231       23.100      1181.91      0.12351479   -756.76406626   -756.64055147
       232       23.200      1125.95      0.11766700   -756.76272548   -756.64505847
       233       23.300      1063.28      0.11111773   -756.76104533   -756.64992759
       234       23.400       987.64      0.10321302   -756.75907163   -756.65585860
       235       23.500       906.86      0.09477086   -756.75689995   -756.66212909
       236       23.600       817.52      0.08543479   -756.75466511   -756.66923033
       237       23.700       750.06      0.07838438   -756.75254821   -756.67416383
       238       23.800       688.27      0.07192790   -756.75070818   -756.67878028
       239       23.900       640.01      0.06688446   -756.74932509   -756.68244063
       240       24.000       612.14      0.06397171   -756.74854179   -756.68457009
       241       24.100       603.11      0.06302764   -756.74843931   -756.68541168
       242       24.200       621.61      0.06496139   -756.74902334   -756.68406195
       243       24.300       657.81      0.06874449   -756.75022169   -756.68147721
       244       24.400       709.13      0.07410756   -756.75189651   -756.67778895
       245       24.500       777.72      0.08127524   -756.75387057   -756.67259532
       246       24.600       851.36      0.08897111   -756.75596237   -756.66699126
       247       24.700       920.08      0.09615273   -756.75799485   -756.66184212
       248       24.800       977.51      0.10215453   -756.75981911   -756.65766458
       249       24.900      1035.28      0.10819218   -756.76133072   -756.65313854
       250       25.000      1063.05      0.11109390   -756.76248155   -756.65138765
       251       25.100      1078.96      0.11275637   -756.76324817   -756.65049180
       252       25.200      1087.84      0.11368439   -756.76365205   -756.64996766
       253       25.300      1084.48      0.11333318   -756.76373020   -756.65039702
       254       25.400      1069.16      0.11173227   -756.76352637   -756.65179410
       255       25.500      1057.54      0.11051808   -756.76309007   -756.65257199
       256       25.600      1026.30      0.10725327   -756.76246490   -756.65521164
       257       25.700       989.40      0.10339681   -756.76170014   -756.65830334
       258       25.800       966.89      0.10104437   -756.76083803   -756.65979366
       259       25.900       930.49      0.09724056   -756.75990389   -756.66266333
       260       26.000       901.26      0.09418546   -756.75893018   -756.66474472
       261       26.100       856.22      0.08947941   -756.75793355   -756.66845415
       262       26.200       825.93      0.08631323   -756.75694025   -756.67062702
       263       26.300       788.30      0.08238109   -756.75595473   -756.67357365
       264       26.400       756.65      0.07907383   -756.75499252   -756.67591869
       265       26.500       717.87      0.07502098   -756.75405968   -756.67903870
       266       26.600       689.08      0.07201213   -756.75316980   -756.68115767
       267       26.700       656.61      0.06861939   -756.75232395   -756.68370455
       268       26.800       628.08      0.06563768   -756.75152978   -756.68589211
       269       26.900       603.52      0.06307115   -756.75078889   -756.68771775
       270       27.000       587.42      0.06138780   -756.75009966   -756.68871186
       271       27.100       564.47      0.05899031   -756.74945834   -756.69046803
       272       27.200       541.25      0.05656370   -756.74886920   -756.69230550
       273       27.300       518.19      0.05415282   -756.74833435   -756.69418153
       274       27.400       492.91      0.05151170   -756.74785592   -756.69634422
       275       27.500       470.58      0.04917833   -756.74743925   -756.69826093
       276       27.600       457.37      0.04779706   -756.74708819   -756.69929113
       277       27.700       437.62      0.04573286   -756.74680459   -756.70107173
       278       27.800       434.13      0.04536829   -756.74659627   -756.70122798
       279       27.900       420.02      0.04389415   -756.74646186   -756.70256772
       280       28.000       410.97      0.04294857   -756.74640674   -756.70345816
       281       28.100       413.88      0.04325202   -756.74642994   -756.70317792
       282       28.200       418.28      0.04371203   -756.74652922   -756.70281719
       283       28.300       420.81      0.04397702   -756.74670060   -756.70272358
