# MD Simulation - NVT Ensemble
# Timestep: 0.5 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       221      110.500       375.92      0.03928590   -756.70575477   -756.66646887
       222      111.000       246.34      0.02574322   -756.70581466   -756.68007145
       223      111.500       305.84      0.03196173   -756.70611729   -756.67415556
       224      112.000       242.81      0.02537483   -756.70596887   -756.68059404
       225      112.500       326.66      0.03413786   -756.70538786   -756.67125000
       226      113.000       338.97      0.03542431   -756.70600861   -756.67058431
       227      113.500       337.41      0.03526117   -756.70551322   -756.67025206
       228      114.000       347.64      0.03633008   -756.70553828   -756.66920820
       229      114.500       225.56      0.02357179   -756.70709696   -756.68352516
       230      115.000       276.26      0.02887053   -756.70707572   -756.67820519
       231      115.500       300.47      0.03140055   -756.70667836   -756.67527781
       232      116.000       301.81      0.03154096   -756.70634131   -756.67480036
       233      116.500       392.68      0.04103676   -756.70681998   -756.66578323
       234      117.000       380.35      0.03974803   -756.70778009   -756.66803206
       235      117.500       268.92      0.02810381   -756.70763987   -756.67953606
       236      118.000       271.19      0.02834090   -756.70812748   -756.67978658
       237      118.500       428.32      0.04476122   -756.70812138   -756.66336016
       238      119.000       416.58      0.04353478   -756.70782996   -756.66429518
       239      119.500       319.55      0.03339417   -756.70875937   -756.67536520
       240      120.000       321.93      0.03364338   -756.70846988   -756.67482651
       241      120.500       285.30      0.02981513   -756.70714084   -756.67732571
       242      121.000       263.87      0.02757552   -756.70834235   -756.68076683
       243      121.500       346.03      0.03616180   -756.70876098   -756.67259919
       244      122.000       206.45      0.02157532   -756.70870225   -756.68712693
       245      122.500       315.20      0.03293951   -756.70890874   -756.67596923
       246      123.000       283.14      0.02958917   -756.70879372   -756.67920455
       247      123.500       327.43      0.03421794   -756.70867466   -756.67445672
       248      124.000       318.11      0.03324352   -756.70917384   -756.67593031
       249      124.500       318.75      0.03331110   -756.70829213   -756.67498103
       250      125.000       293.21      0.03064218   -756.70924835   -756.67860616
       251      125.500       313.20      0.03273068   -756.71028086   -756.67755019
       252      126.000       297.92      0.03113375   -756.70930463   -756.67817088
       253      126.500       298.66      0.03121144   -756.71002744   -756.67881600
       254      127.000       314.45      0.03286156   -756.71065797   -756.67779640
       255      127.500       375.34      0.03922488   -756.71084554   -756.67162066
       256      128.000       331.87      0.03468244   -756.71076065   -756.67607821
       257      128.500       251.07      0.02623832   -756.71052290   -756.68428458
       258      129.000       439.85      0.04596609   -756.71099575   -756.66502966
       259      129.500       275.07      0.02874598   -756.71060144   -756.68185546
       260      130.000       355.26      0.03712685   -756.70982042   -756.67269357
       261      130.500       363.22      0.03795808   -756.70974142   -756.67178334
       262      131.000       383.19      0.04004488   -756.71078908   -756.67074420
       263      131.500       400.45      0.04184927   -756.71090144   -756.66905216
       264      132.000       339.30      0.03545848   -756.71064773   -756.67518925
       265      132.500       319.68      0.03340847   -756.71003701   -756.67662854
       266      133.000       358.65      0.03748078   -756.71032656   -756.67284579
       267      133.500       344.23      0.03597373   -756.71115080   -756.67517706
       268      134.000       254.27      0.02657248   -756.71136458   -756.68479210
       269      134.500       370.15      0.03868287   -756.71158212   -756.67289925
       270      135.000       262.37      0.02741908   -756.71178167   -756.68436259
       271      135.500       331.95      0.03469026   -756.71149257   -756.67680231
       272      136.000       342.17      0.03575832   -756.71101972   -756.67526140
       273      136.500       279.69      0.02922844   -756.71077075   -756.68154231
       274      137.000       308.35      0.03222361   -756.71100914   -756.67878553
       275      137.500       319.82      0.03342252   -756.71130914   -756.67788662
       276      138.000       322.31      0.03368290   -756.71146986   -756.67778696
       277      138.500       296.35      0.03097024   -756.71100879   -756.68003854
       278      139.000       279.25      0.02918258   -756.71073605   -756.68155347
       279      139.500       348.73      0.03644434   -756.71083800   -756.67439366
       280      140.000       349.04      0.03647654   -756.71260468   -756.67612814
       281      140.500       361.37      0.03776460   -756.71224566   -756.67448107
       282      141.000       346.17      0.03617647   -756.71292003   -756.67674356
       283      141.500       405.62      0.04238967   -756.71234428   -756.66995462
       284      142.000       330.76      0.03456652   -756.71317906   -756.67861254
       285      142.500       290.16      0.03032305   -756.71262778   -756.68230473
       286      143.000       240.59      0.02514318   -756.71320307   -756.68805989
       287      143.500       385.64      0.04030123   -756.71313214   -756.67283090
       288      144.000       356.78      0.03728538   -756.71341871   -756.67613333
       289      144.500       265.48      0.02774389   -756.71327516   -756.68553127
       290      145.000       293.21      0.03064192   -756.71366955   -756.68302762
       291      145.500       366.69      0.03832124   -756.71409558   -756.67577433
       292      146.000       318.26      0.03326014   -756.71340638   -756.68014624
       293      146.500       277.07      0.02895473   -756.71231744   -756.68336271
       294      147.000       381.95      0.03991601   -756.71302132   -756.67310531
       295      147.500       368.99      0.03856101   -756.71322312   -756.67466210
       296      148.000       242.49      0.02534140   -756.71350886   -756.68816745
       297      148.500       369.70      0.03863561   -756.71421480   -756.67557919
       298      149.000       330.01      0.03448771   -756.71382712   -756.67933941
       299      149.500       403.44      0.04216160   -756.71325582   -756.67109421
       300      150.000       351.32      0.03671421   -756.71318208   -756.67646787
       301      150.500       255.05      0.02665440   -756.71397687   -756.68732247
       302      151.000       325.24      0.03398909   -756.71311409   -756.67912500
       303      151.500       372.65      0.03894362   -756.71388978   -756.67494616
       304      152.000       248.33      0.02595177   -756.71366089   -756.68770912
       305      152.500       291.79      0.03049354   -756.71406351   -756.68356997
       306      153.000       395.54      0.04133538   -756.71421032   -756.67287494
       307      153.500       250.09      0.02613581   -756.71276513   -756.68662932
       308      154.000       347.10      0.03627311   -756.71379098   -756.67751788
       309      154.500       305.21      0.03189634   -756.71386346   -756.68196712
       310      155.000       347.96      0.03636394   -756.71436757   -756.67800363
       311      155.500       307.28      0.03211196   -756.71457996   -756.68246800
       312      156.000       372.09      0.03888492   -756.71435419   -756.67546927
       313      156.500       278.77      0.02913232   -756.71490158   -756.68576926
       314      157.000       304.44      0.03181526   -756.71399825   -756.68218299
       315      157.500       333.02      0.03480260   -756.71472586   -756.67992326
       316      158.000       363.89      0.03802798   -756.71512771   -756.67709973
       317      158.500       301.68      0.03152690   -756.71492566   -756.68339877
       318      159.000       333.19      0.03481993   -756.71513314   -756.68031321
       319      159.500       400.65      0.04186948   -756.71519598   -756.67332650
       320      160.000       263.21      0.02750655   -756.71501983   -756.68751328
       321      160.500       262.00      0.02738048   -756.71473686   -756.68735639
       322      161.000       270.04      0.02822033   -756.71516163   -756.68694130
       323      161.500       318.85      0.03332177   -756.71607758   -756.68275582
       324      162.000       297.22      0.03106114   -756.71578897   -756.68472783
       325      162.500       351.83      0.03676815   -756.71574337   -756.67897522
       326      163.000       234.69      0.02452641   -756.71464150   -756.69011509
       327      163.500       352.51      0.03683869   -756.71501450   -756.67817582
       328      164.000       465.46      0.04864262   -756.71515255   -756.66650993
       329      164.500       394.04      0.04117943   -756.71563585   -756.67445642
       330      165.000       362.11      0.03784244   -756.71608778   -756.67824534
       331      165.500       223.26      0.02333212   -756.71674579   -756.69341366
       332      166.000       371.33      0.03880544   -756.71713176   -756.67832632
       333      166.500       304.92      0.03186558   -756.71638137   -756.68451579
       334      167.000       271.66      0.02838982   -756.71625306   -756.68786324
       335      167.500       331.43      0.03463592   -756.71709710   -756.68246118
       336      168.000       328.50      0.03432964   -756.71673401   -756.68240437
       337      168.500       316.17      0.03304091   -756.71620308   -756.68316218
       338      169.000       296.69      0.03100561   -756.71661646   -756.68561085
       339      169.500       252.24      0.02636022   -756.71642521   -756.69006499
       340      170.000       377.95      0.03949807   -756.71650670   -756.67700862
       341      170.500       205.97      0.02152533   -756.71659158   -756.69506625
       342      171.000       350.80      0.03666014   -756.71716877   -756.68050862
       343      171.500       315.04      0.03292298   -756.71649888   -756.68357590
       344      172.000       490.98      0.05131006   -756.71594370   -756.66463364
       345      172.500       411.22      0.04297453   -756.71593838   -756.67296385
       346      173.000       314.38      0.03285446   -756.71541821   -756.68256375
       347      173.500       286.75      0.02996713   -756.71598260   -756.68601548
       348      174.000       340.50      0.03558422   -756.71612935   -756.68054512
       349      174.500       408.51      0.04269153   -756.71610800   -756.67341648
       350      175.000       345.08      0.03606242   -756.71485480   -756.67879238
       351      175.500       304.58      0.03182955   -756.71405012   -756.68222057
       352      176.000       270.24      0.02824173   -756.71402404   -756.68578231
       353      176.500       493.99      0.05162434   -756.71432114   -756.66269680
       354      177.000       349.58      0.03653253   -756.71506651   -756.67853398
       355      177.500       354.30      0.03702623   -756.71446076   -756.67743453
       356      178.000       281.57      0.02942547   -756.71505754   -756.68563207
